roll_number,Name,Branch,Section,detained_status
229X1A2901,Aditi,CS,A,TRUE
229X1A2902,Bharat,CS,A,FALSE
229X1A2905,Charan,CS,A,FALSE
229X1A2906,Deepa,CS,A,TRUE
229X1A2907,Eshan,CS,A,TRUE
229X1A2908,Farah,CS,B,TRUE
229X1A2909,Guru,CS,B,FALSE
229X1A2910,Hari,CS,B,FALSE
229X1A2912,Isha,CS,B,FALSE
229X1A2915,Jyoti,CS,B,FALSE
229X1A2916,Karan,ME,B,FALSE
229X1A2917,Lina,ME,B,FALSE
229X1A2918,Mafalsej,ME,B,FALSE
229X1A2920,Neha,ME,B,FALSE
229X1A2922,Om,ME,A,FALSE
239X5A02C3,santa,EC,B,FALSE
239X5A02C5,puwin,EC,B,FALSE
239X5A02D0,dunk,EC,A,FALSE
239X5A02D6,archen,EC,A,FALSE
