roll_number,Name,Branch,Section,detained_status,email
229X1A2901,Aditi,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2902,Bharat,CS,A,FALSE,mfazii4563@gmail.com
229X1A2905,Charan,CS,A,FALSE,mohamedfazil2584@gmail.com
229X1A2906,Deepa,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2907,Eshan,CS,A,FALSE,mfazii4563@gmail.com
229X1A2908,Farah,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2909,Guru,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,CS,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,ME,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,ME,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,ME,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,ME,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,ME,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EC,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EC,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EC,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EC,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,EE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,EE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,EE,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,EE,B,FALSE,mohamedfazil2584@gmail.com
