roll_number,Name,Branch,Section,detained_status,email
229X1A2901,Aditi,CS,A,TRUE,safihatech@gmail.com
229X1A2902,Bharat,CS,A,TRUE,safihatech@gmail.com
229X1A2903,Charan,CS,A,TRUE,safihatech@gmail.com
229X1A2904,Deepa,CS,A,TRUE,safihatech@gmail.com
229X1A2905,Eshan,CS,A,TRUE,safihatech@gmail.com
229X1A2906,Farah,CS,B,TRUE,safihatech@gmail.com
229X1A2907,Guru,CS,B,TRUE,safihatech@gmail.com
229X1A2908,Hari,CS,B,TRUE,safihatech@gmail.com
229X1A2909,Isha,CS,B,TRUE,safihatech@gmail.com
229X1A3201,Jyoti,ME,A,FALSE,safihatech@gmail.com
229X1A3202,Karan,ME,A,FALSE,safihatech@gmail.com
229X1A3203,Lina,ME,A,FALSE,safihatech@gmail.com
229X1A3204,Mafalsej,ME,A,FALSE,safihatech@gmail.com
229X1A3205,Neha,ME,A,FALSE,safihatech@gmail.com
229X1A3206,Om,ME,B,FALSE,safihatech@gmail.com
229X1A3207,puwin,ME,B,FALSE,safihatech@gmail.com
229X1A3208,quril,ME,B,FALSE,safihatech@gmail.com
229X1A3209,rani,ME,B,FALSE,safihatech@gmail.com
229X1A3210,santa,ME,B,FALSE,safihatech@gmail.com
229X1A3301,tarif,EE,A,FALSE,safihatech@gmail.com
229X1A3302,unique,EE,A,FALSE,safihatech@gmail.com
229X1A3303,van,EE,A,FALSE,safihatech@gmail.com
229X1A3304,wolfa,EE,A,FALSE,safihatech@gmail.com
229X1A3305,xmas,EE,A,FALSE,safihatech@gmail.com
229X1A3306,yusuf,EE,B,FALSE,safihatech@gmail.com
229X1A3307,zehra,EE,B,FALSE,safihatech@gmail.com
229X1A3308,a,EE,B,FALSE,safihatech@gmail.com
229X1A3309,b,EE,B,FALSE,safihatech@gmail.com
229X1A3310,c,EC,B,FALSE,safihatech@gmail.com
229X1A0501,d,EC,A,FALSE,safihatech@gmail.com
229X1A0502,e,EC,A,FALSE,safihatech@gmail.com
229X1A0503,f,EC,A,FALSE,safihatech@gmail.com
229X1A0504,g,EC,A,FALSE,safihatech@gmail.com
229X1A0505,h,EC,A,FALSE,safihatech@gmail.com
229X1A0506,i,EC,B,TRUE,safihatech@gmail.com
229X1A0507,j,EC,B,TRUE,safihatech@gmail.com
229X1A0508,k,EC,B,TRUE,safihatech@gmail.com
229X1A0509,l,EC,B,TRUE,safihatech@gmail.com
229X1A0510,m,EC,B,TRUE,safihatech@gmail.com
